S/N,Name Of Applicant,Ward,Project Title,Approved Amount
90.,Chibuyu Co-operative,Syambabala,Piggery,"40,000.00"
91.,Twakkomana Saving Group,Syambabala,Irrigation,"40,000.00"
92.,Chakasala Co-operative,Sinafala,Goat Rearing,"40,000.00"
93.,Kalizya Mpongo Multi-Purpose Cooperative,Fumbo,Poultry,"40,000.00"
94.,Kuyeyakwangu Co-operative,Fumbo,Piggery Rearing,"40,000.00"
95.,Kaompi Co-operatives,Bbondo,Goat Keeping,"40,000.00"
96.,Hachiyola Saving Group,Bbondo,Goat Keeping,"40,000.00"
97.,Makuyu Women Club,Chibuwe,Goat Keeping,"40,000.00"
98.,Gwembe Youth Movement Group,Chibuwe,Irrigation,"40,000.00"
99.,Nakatapata Club,Chaamwe,Cattle Trading,"40,000.00"
100,. Mabwe Mayale Club,Chaamwe,Goat Production,"40,000.00"
TOTAL,,,,"2,259,375.00"
