S/N,Project Name,Project Description,Sector,Project,Ward,Zone,Location
S/N 1.,Project Name Construction of a Health Post & Ablution Block & in Mabula,"Project Description Construction of a Health Post, and Ablution",Sector Health,Project Construction,Ward Kkota- Kkota,Zone Mabula,Location Mabula
2.,Construction of a 1X3 Classroom Block at Bbondo Secondary School,Construction of a 1X3 Classroom Block,Education,Construction,Bbondo,Bbondo,Bbondo
3.,Construction of a Health Post & a Maternity Annex in Jongola,Construction of a Health Post & Maternity Annex,Health,Construction,Jongola,Jongola,Jongola Area
4.,Construction of a 1X3 Classroom Block at Mukono Community School,Construction of a 1X3 Classroom Block,Education,Construction,Chaamwe,Mukono,Mukuno Community School
5.,Maintenance of Roads in the District,Maintenance of Roads & Servicing of Equipment,Road Infrastructure,Construction,Gwembe District,Gwembe District,Gwembe District
6.,Rural Electrification,Electrification of Kalama Primary School,Power Supply,Construction,Jumbo - Sompani Ward,,Kalama Primary School
7.,Procurement of a Drilling Rig & a Siting Machine,Procurement of a Drilling Rig & a Siting Machine,Water,Procurement,Gwembe District,Gwembe District,Gwembe District
"TOTAL K18,304,493.20",,,,,,,
